cisp,mes,ano,aisp,risp,arma_fabricacao_caseira,carabina,espingarda,fuzil,garrucha,garruchao,metralhadora,outros,pistola,revolver,submetralhadora,total
11,6,2007,23,1,0,0,0,0,0,0,0,0,0,0,0,0
11,7,2007,23,1,0,0,0,0,0,0,0,0,0,0,0,0
11,8,2007,23,1,0,0,0,0,0,0,0,0,0,0,0,0
11,9,2007,23,1,0,0,0,0,0,0,0,0,0,0,0,0
11,10,2007,23,1,0,0,0,0,0,0,0,0,0,0,0,0
11,11,2007,23,1,0,0,0,0,0,0,0,0,0,0,0,0
11,12,2007,23,1,0,0,0,0,0,0,0,0,0,0,0,0
12,1,2007,19,1,0,0,0,0,0,0,0,0,0,2,0,2
12,2,2007,19,1,0,0,0,0,0,0,0,0,1,2,0,3
12,3,2007,19,1,0,0,1,0,0,0,0,0,0,2,0,3
12,4,2007,19,1,0,0,0,0,0,0,2,0,2,3,0,7
12,5,2007,19,1,0,0,0,0,0,0,0,1,0,3,0,4
12,6,2007,19,1,0,0,0,0,0,0,0,0,0,1,0,1
12,7,2007,19,1,0,0,0,0,0,0,0,0,2,6,0,8
12,8,2007,19,1,0,0,0,0,0,0,0,0,1,1,0,2
12,9,2007,19,1,0,0,0,0,1,0,0,0,1,2,0,4
12,10,2007,19,1,0,0,0,0,0,0,0,0,2,4,0,6
12,11,2007,19,1,0,0,0,0,0,0,0,0,3,1,0,4
12,12,2007,19,1,0,0,0,0,4,0,0,0,0,0,0,4
13,1,2007,19,1,0,0,0,0,0,0,0,0,1,2,0,3
13,2,2007,19,1,0,0,0,0,0,0,0,0,1,1,0,2
13,3,2007,19,1,0,0,1,0,0,0,0,0,0,1,0,2
13,4,2007,19,1,0,0,0,0,0,0,0,0,0,0,0,0
13,5,2007,19,1,0,0,0,0,0,0,0,1,0,1,0,2
13,6,2007,19,1,0,0,0,0,0,0,0,0,0,2,0,2
13,7,2007,19,1,0,0,0,0,0,0,0,0,0,0,0,0
13,8,2007,19,1,0,0,1,0,1,0,1,0,5,1,0,9
13,9,2007,19,1,0,0,0,0,0,0,0,0,2,1,1,4
13,10,2007,19,1,0,0,0,0,0,0,0,0,1,1,0,2
13,11,2007,19,1,0,0,1,0,1,0,1,0,0,0,0,3
13,12,2007,19,1,0,0,0,0,0,0,0,0,1,1,0,2
14,1,2007,23,1,0,0,0,0,0,0,0,0,1,2,0,3
14,2,2007,23,1,0,0,0,0,0,0,0,0,3,3,0,6
14,3,2007,23,1,0,0,0,0,0,0,0,0,0,0,0,0
14,4,2007,23,1,0,0,0,0,0,0,0,0,1,2,0,3
14,5,2007,23,1,0,0,0,0,0,0,0,0,2,0,0,2
14,6,2007,23,1,0,0,0,0,0,0,0,0,4,3,0,7
14,7,2007,23,1,0,0,1,0,0,0,0,0,0,2,0,3
14,8,2007,23,1,0,0,0,0,0,0,0,0,0,1,0,1
14,9,2007,23,1,0,0,0,0,0,0,0,0,1,1,0,2
14,10,2007,23,1,0,0,0,0,0,0,0,0,0,0,0,0
14,11,2007,23,1,0,0,0,0,0,0,0,0,0,2,0,2
14,12,2007,23,1,0,0,0,0,0,0,0,0,1,1,0,2
15,1,2007,23,1,0,0,0,0,1,0,0,1,2,4,0,8
15,2,2007,23,1,0,0,1,0,0,0,0,0,1,4,0,6
15,3,2007,23,1,2,0,2,1,2,0,0,0,4,6,0,17
15,4,2007,23,1,0,1,0,0,0,0,0,0,0,11,0,12
15,5,2007,23,1,0,1,0,0,0,0,0,0,5,5,0,11
15,6,2007,23,1,0,0,0,0,0,0,0,0,1,3,0,4
15,7,2007,23,1,1,0,0,0,0,0,0,0,1,2,0,4
15,8,2007,23,1,0,0,0,0,1,0,0,0,3,4,0,8
15,9,2007,23,1,0,0,2,0,0,0,0,0,1,6,0,9
15,10,2007,23,1,0,0,0,1,0,0,0,0,0,2,0,3
15,11,2007,23,1,0,0,2,1,0,0,0,0,0,0,0,3
15,12,2007,23,1,0,0,1,0,0,0,0,0,0,2,0,3
16,1,2007,31,2,0,0,0,0,0,0,0,0,1,4,0,5
16,2,2007,31,2,0,0,1,0,0,0,0,0,3,4,0,8
16,3,2007,31,2,0,0,0,0,0,0,0,0,4,6,0,10
16,4,2007,31,2,0,0,0,0,0,0,0,0,0,7,0,7
16,5,2007,31,2,0,0,0,0,0,0,0,0,4,10,0,14
16,6,2007,31,2,0,0,0,0,0,0,0,0,1,4,0,5
16,7,2007,31,2,0,0,0,0,0,0,0,0,3,2,0,5
16,8,2007,31,2,0,2,0,0,0,0,0,0,0,3,0,5
16,9,2007,31,2,0,0,0,0,0,0,0,3,2,7,0,12
16,10,2007,31,2,0,0,0,0,1,0,0,0,3,3,0,7
16,11,2007,31,2,0,0,0,0,0,0,0,0,4,5,0,9
16,12,2007,31,2,0,1,2,0,0,0,0,0,3,4,0,10
17,1,2007,4,1,2,0,1,1,1,0,0,0,6,8,0,19
17,2,2007,4,1,0,0,2,0,1,0,0,0,2,10,0,15
17,3,2007,4,1,0,0,0,0,1,0,0,0,7,4,0,12
17,4,2007,4,1,1,0,0,0,0,0,0,1,4,2,0,8
17,5,2007,4,1,0,1,0,0,0,0,0,0,8,6,0,15
17,6,2007,4,1,2,0,0,0,1,0,1,1,3,9,0,17
17,7,2007,4,1,0,0,0,0,0,0,0,0,4,9,0,13
17,8,2007,4,1,3,1,0,0,1,0,0,0,1,7,0,13
17,9,2007,4,1,0,0,0,1,0,0,0,0,6,7,1,15
17,10,2007,4,1,0,1,0,1,0,0,0,0,3,10,0,15
17,11,2007,4,1,0,0,0,0,0,0,1,0,4,10,0,15
17,12,2007,4,1,0,0,0,0,0,0,0,0,3,5,0,8
18,1,2007,4,1,0,0,0,0,1,0,0,0,0,1,0,2
18,2,2007,4,1,0,0,0,0,0,0,0,0,3,2,0,5
18,3,2007,4,1,1,0,0,0,0,0,0,0,0,0,0,1
18,4,2007,4,1,1,0,0,0,1,0,0,0,0,1,0,3
18,5,2007,4,1,1,0,0,0,0,0,0,0,0,0,0,1
18,6,2007,4,1,0,0,0,1,0,0,0,0,1,2,0,4
18,7,2007,4,1,0,0,0,0,0,0,0,0,3,2,0,5
18,8,2007,4,1,0,0,1,1,0,0,0,0,0,2,0,4
18,9,2007,4,1,0,0,1,0,0,0,0,0,0,1,0,2
18,10,2007,4,1,0,0,1,0,0,0,0,0,3,0,0,4
18,11,2007,4,1,0,0,0,0,0,0,0,0,0,3,0,3
18,12,2007,4,1,0,0,1,0,0,0,0,0,0,2,0,3
19,1,2007,6,1,1,0,1,0,0,0,0,0,2,1,0,5
19,2,2007,6,1,1,0,2,0,1,0,0,0,1,1,0,6
19,3,2007,6,1,5,0,1,0,0,0,0,0,5,4,1,16
19,4,2007,6,1,4,0,0,1,0,0,0,0,5,4,0,14
19,5,2007,6,1,1,1,1,0,0,0,0,0,3,4,0,10
19,6,2007,6,1,2,0,1,0,0,0,1,0,3,4,0,11
19,7,2007,6,1,1,0,0,0,1,0,0,0,2,3,0,7
19,8,2007,6,1,6,0,0,0,0,0,0,0,2,3,0,11
19,9,2007,6,1,1,0,2,1,0,0,0,0,4,4,0,12
19,10,2007,6,1,1,0,0,0,0,0,0,0,5,2,0,8
19,11,2007,6,1,0,0,1,0,0,0,0,0,4,3,0,8
19,12,2007,6,1,0,0,1,0,0,0,0,0,2,5,0,8
20,1,2007,6,1,0,1,0,0,0,0,0,0,3,1,0,5
20,2,2007,6,1,0,0,2,0,0,0,0,0,0,3,0,5
20,3,2007,6,1,0,0,0,0,0,0,0,0,1,2,0,3
20,4,2007,6,1,0,0,0,0,0,0,0,0,5,4,1,10
20,5,2007,6,1,0,0,0,0,0,0,0,0,2,5,0,7
20,6,2007,6,1,0,0,0,0,0,0,0,0,0,3,0,3
20,7,2007,6,1,1,0,0,0,0,0,0,0,3,0,0,4
20,8,2007,6,1,0,0,0,1,0,0,0,0,3,2,0,6
20,9,2007,6,1,2,1,1,0,0,0,0,0,4,2,0,10
20,10,2007,6,1,0,1,1,0,0,0,0,0,5,6,0,13
20,11,2007,6,1,0,1,2,0,0,0,1,0,3,3,0,10
20,12,2007,6,1,2,0,2,0,0,0,0,0,2,3,0,9
21,1,2007,22,1,0,0,3,1,0,0,0,0,7,9,0,20
21,2,2007,22,1,0,0,2,2,0,0,0,0,7,10,0,21
21,3,2007,22,1,0,0,1,1,0,0,0,0,3,9,0,14
21,4,2007,22,1,0,2,0,0,0,0,0,0,5,8,0,15
21,5,2007,22,1,0,0,0,2,0,0,0,0,10,9,0,21
21,6,2007,22,1,0,0,2,5,0,0,2,0,8,9,0,26
21,7,2007,22,1,0,0,0,1,1,0,0,0,6,3,1,12
21,8,2007,22,1,0,0,1,3,0,0,0,0,9,8,0,21
21,9,2007,22,1,0,0,0,1,0,0,1,0,7,7,0,16
21,10,2007,22,1,0,0,0,1,0,0,0,0,8,6,0,15
21,11,2007,22,1,0,2,2,3,0,0,0,0,8,7,0,22
21,12,2007,22,1,0,0,3,1,0,0,1,0,6,8,0,19
22,1,2007,16,1,0,2,7,1,0,0,0,3,6,14,0,33
22,2,2007,16,1,0,0,2,3,1,0,0,0,5,17,1,29
22,3,2007,16,1,1,0,4,5,2,0,1,0,4,7,0,24
22,4,2007,16,1,0,0,2,0,1,0,1,0,6,19,0,29
22,5,2007,16,1,0,0,5,3,0,0,0,0,17,15,0,40
22,6,2007,16,1,0,0,0,0,0,0,1,0,5,19,0,25
22,7,2007,16,1,0,0,4,0,0,0,1,1,2,16,0,24
22,8,2007,16,1,0,1,1,0,0,0,0,0,13,18,0,33
22,9,2007,16,1,0,0,1,3,0,0,1,1,21,22,0,49
22,10,2007,16,1,0,0,0,1,0,0,1,0,11,7,0,20
22,11,2007,16,1,1,1,0,5,2,0,1,0,5,22,0,37
22,12,2007,16,1,0,3,0,0,1,0,0,0,6,15,0,25
23,1,2007,3,1,13,0,14,0,0,0,0,0,4,1,0,32
23,2,2007,3,1,23,2,19,0,1,0,0,2,0,2,0,49
23,3,2007,3,1,35,0,0,0,0,0,0,0,1,3,0,39
23,4,2007,3,1,0,0,1,0,0,0,0,0,4,4,0,9
23,5,2007,3,1,0,0,1,0,0,0,0,0,0,2,0,3
23,6,2007,3,1,0,0,3,0,0,0,0,0,0,1,0,4
23,7,2007,3,1,0,2,0,0,0,0,0,0,2,1,0,5
23,8,2007,3,1,1,0,2,0,1,0,0,0,1,2,0,7
23,9,2007,3,1,1,0,3,0,0,0,0,1,0,9,0,14
23,10,2007,3,1,0,0,2,0,0,0,0,0,1,6,0,9
23,11,2007,3,1,1,0,1,3,1,0,0,0,3,3,0,12
23,12,2007,3,1,1,0,1,0,1,0,0,0,0,8,0,11
24,1,2007,3,1,7,0,2,0,1,0,1,0,2,3,0,16
24,2,2007,3,1,1,0,4,1,0,0,0,0,2,1,0,9
24,3,2007,3,1,0,0,0,0,0,0,0,0,0,0,0,0
24,4,2007,3,1,1,0,0,0,0,0,0,0,0,2,0,3
24,5,2007,3,1,0,0,0,0,0,0,0,0,3,4,0,7
24,6,2007,3,1,0,0,2,0,0,0,0,0,0,3,0,5
24,7,2007,3,1,0,0,0,1,0,0,0,0,2,2,0,5
24,8,2007,3,1,0,0,0,0,0,0,0,0,3,4,0,7
24,9,2007,3,1,0,0,0,1,0,0,0,0,4,0,0,5
24,10,2007,3,1,0,0,0,0,0,0,0,0,1,4,0,5
24,11,2007,3,1,0,0,0,0,1,0,0,0,0,3,0,4
24,12,2007,3,1,0,0,0,0,1,0,0,0,2,1,0,4
25,1,2007,3,1,5,0,9,0,1,0,0,1,3,5,0,24
25,2,2007,3,1,0,0,11,0,0,0,0,0,0,2,0,13
25,3,2007,3,1,9,0,4,0,0,0,0,0,3,6,0,22
25,4,2007,3,1,0,0,0,1,0,0,0,1,2,5,0,9
25,5,2007,3,1,0,0,0,1,0,0,1,0,15,8,0,25
25,6,2007,3,1,0,0,1,1,0,0,0,1,7,5,0,15
25,7,2007,3,1,0,0,1,0,0,0,1,1,8,13,0,24
25,8,2007,3,1,0,1,0,0,0,0,0,0,7,9,0,17
25,9,2007,3,1,0,1,0,0,0,0,0,0,7,6,0,14
25,10,2007,3,1,0,4,4,1,0,0,2,0,2,9,0,22
25,11,2007,3,1,0,0,1,0,1,0,0,0,6,12,0,20
25,12,2007,3,1,0,1,2,0,1,0,0,0,3,7,0,14
26,1,2007,3,1,0,0,0,0,0,0,0,0,0,3,0,3
26,2,2007,3,1,0,0,1,0,0,0,0,0,2,2,0,5
26,3,2007,3,1,2,0,1,0,0,0,0,2,3,2,0,10
26,4,2007,3,1,0,0,0,0,0,0,0,0,1,3,0,4
26,5,2007,3,1,0,0,0,0,0,0,0,0,3,2,0,5
26,6,2007,3,1,2,0,0,1,0,0,0,0,3,8,0,14
26,7,2007,3,1,0,0,0,0,1,0,0,0,2,5,0,8
26,8,2007,3,1,0,0,2,0,0,0,0,0,2,4,0,8
26,9,2007,3,1,0,0,1,1,0,0,0,0,4,2,0,8
26,10,2007,3,1,0,0,0,0,0,0,0,0,6,2,0,8
26,11,2007,3,1,0,1,0,0,1,0,0,0,1,5,0,8
26,12,2007,3,1,0,0,0,0,0,0,0,0,0,1,0,1
27,1,2007,41,2,0,0,0,0,0,0,0,1,4,4,0,9
27,2,2007,41,2,0,0,0,2,0,0,0,1,0,5,0,8
27,3,2007,41,2,0,0,1,3,0,0,0,0,6,14,0,24
27,4,2007,41,2,0,0,0,1,0,0,0,0,3,3,1,8
27,5,2007,41,2,0,0,1,1,0,0,0,0,2,3,0,7
27,6,2007,41,2,0,0,1,1,0,0,0,0,6,3,0,11
27,7,2007,41,2,0,0,0,0,0,0,0,0,1,4,0,5
27,8,2007,41,2,0,0,0,2,0,0,0,0,3,9,0,14
27,9,2007,41,2,0,0,0,2,0,0,0,1,3,3,0,9
27,10,2007,41,2,0,0,1,0,0,0,0,0,6,3,0,10
27,11,2007,41,2,0,0,1,0,0,0,0,0,1,11,0,13
27,12,2007,41,2,0,0,3,0,0,0,0,0,4,9,0,16
28,1,2007,9,2,0,0,0,0,0,0,0,0,3,3,0,6
28,2,2007,9,2,0,0,0,0,0,0,0,0,0,1,0,1
28,3,2007,9,2,0,0,0,0,0,0,0,0,2,0,0,2
28,4,2007,9,2,0,0,0,0,0,0,0,0,0,0,0,0
28,5,2007,9,2,0,0,0,0,0,0,0,0,0,3,0,3
28,6,2007,9,2,0,0,0,0,0,0,0,0,5,2,0,7
28,7,2007,9,2,0,0,0,0,0,0,0,0,1,6,0,7
28,8,2007,9,2,0,0,0,0,0,0,0,0,2,2,0,4
28,9,2007,9,2,0,0,0,0,0,0,0,0,0,0,0,0
28,10,2007,9,2,0,0,0,0,0,0,0,0,1,1,0,2
28,11,2007,9,2,0,0,0,0,0,0,0,0,0,0,0,0
28,12,2007,9,2,0,0,0,0,0,0,0,0,0,2,0,2
29,1,2007,9,2,0,0,0,0,0,0,0,0,1,2,0,3
29,2,2007,9,2,0,0,0,0,0,0,0,0,2,5,0,7
29,3,2007,9,2,1,0,0,0,0,0,0,0,3,7,0,11
29,4,2007,9,2,0,0,2,2,0,0,0,0,4,3,0,11
29,5,2007,9,2,0,0,1,0,0,0,0,1,3,13,0,18
29,6,2007,9,2,0,0,0,0,0,0,0,1,6,5,0,12
29,7,2007,9,2,0,0,0,0,0,0,0,1,1,11,0,13
29,8,2007,9,2,0,0,1,0,0,0,0,0,7,3,0,11
29,9,2007,9,2,0,2,0,0,0,0,0,0,9,10,0,21
29,10,2007,9,2,0,0,0,0,0,0,0,0,2,7,0,9
29,11,2007,9,2,0,0,0,0,0,0,0,0,0,6,0,6
29,12,2007,9,2,0,0,0,0,0,0,0,0,1,1,0,2
30,1,2007,9,2,0,0,0,0,0,0,0,0,0,2,0,2
30,2,2007,9,2,0,0,0,2,0,0,0,0,2,7,0,11
30,3,2007,9,2,0,0,0,0,0,0,0,0,1,1,0,2
30,4,2007,9,2,0,1,1,0,0,0,0,0,3,5,0,10
30,5,2007,9,2,0,0,0,0,0,0,0,0,3,0,0,3
30,6,2007,9,2,0,0,0,0,0,0,0,0,1,1,0,2
30,7,2007,9,2,0,0,1,1,0,0,0,0,0,4,0,6
30,8,2007,9,2,0,0,0,0,0,0,0,0,4,6,1,11
30,9,2007,9,2,0,0,1,0,0,0,0,0,2,1,0,4
30,10,2007,9,2,0,0,2,0,0,0,0,0,2,4,0,8
30,11,2007,9,2,0,0,0,0,0,0,0,0,0,4,0,4
30,12,2007,9,2,0,0,0,0,1,0,0,0,1,1,0,3
31,1,2007,41,2,0,0,0,0,0,0,0,0,0,0,0,0
31,2,2007,41,2,0,0,0,0,0,0,0,0,0,0,0,0
31,3,2007,41,2,0,0,0,0,0,0,0,0,0,0,0,0
31,4,2007,41,2,0,0,0,0,0,0,0,0,0,0,0,0
31,5,2007,41,2,0,0,0,0,0,0,0,0,0,0,0,0
31,6,2007,41,2,0,0,0,0,0,0,0,0,2,2,0,4
31,7,2007,41,2,0,0,0,0,0,0,0,1,1,1,0,3
31,8,2007,41,2,0,0,0,0,0,0,0,0,0,0,0,0
31,9,2007,41,2,0,0,0,0,0,0,0,0,0,1,0,1
31,10,2007,41,2,0,1,0,0,0,0,0,0,0,1,0,2
31,11,2007,41,2,0,0,0,0,0,0,0,0,0,0,0,0
31,12,2007,41,2,0,0,0,0,0,0,0,0,0,0,0,0
32,1,2007,18,2,0,0,0,0,0,0,0,0,6,8,0,14
32,2,2007,18,2,0,0,1,0,0,0,1,0,2,3,0,7
32,3,2007,18,2,0,0,0,1,0,0,0,1,2,5,0,9
32,4,2007,18,2,0,0,1,0,0,0,0,0,5,4,1,11
32,5,2007,18,2,0,1,0,0,0,0,2,0,6,8,0,17
32,6,2007,18,2,0,1,0,0,0,0,0,0,3,7,0,11
32,7,2007,18,2,0,0,0,0,0,0,0,0,1,2,0,3
32,8,2007,18,2,0,0,0,0,0,0,0,0,6,1,0,7
32,9,2007,18,2,0,0,1,0,0,0,0,0,0,1,0,2
32,10,2007,18,2,0,0,0,1,0,0,0,0,8,2,0,11
32,11,2007,18,2,0,0,0,0,0,0,0,0,2,2,0,4
32,12,2007,18,2,0,0,0,1,0,0,0,0,3,7,0,11
33,1,2007,14,2,0,0,0,1,0,0,0,0,8,5,0,14
33,2,2007,14,2,0,0,0,0,0,0,0,0,3,1,0,4
33,3,2007,14,2,0,1,0,0,0,0,0,0,4,5,0,10
33,4,2007,14,2,0,0,0,0,0,0,0,0,5,4,0,9
33,5,2007,14,2,0,0,1,0,0,0,0,0,7,8,0,16
33,6,2007,14,2,0,0,0,0,0,0,0,0,1,3,0,4
33,7,2007,14,2,0,0,0,0,0,0,0,0,5,2,0,7
33,8,2007,14,2,0,0,0,0,0,0,0,0,4,0,0,4
33,9,2007,14,2,0,0,0,0,0,0,0,0,8,6,0,14
33,10,2007,14,2,0,0,1,0,0,0,0,0,2,0,0,3
33,11,2007,14,2,0,0,0,0,0,0,0,0,5,1,0,6
33,12,2007,14,2,0,0,0,0,0,0,0,0,2,1,0,3
34,1,2007,14,2,0,0,1,1,0,0,0,0,4,4,0,10
34,2,2007,14,2,0,0,0,1,0,0,0,0,6,2,0,9
34,3,2007,14,2,0,0,3,3,0,0,1,0,8,9,0,24
34,4,2007,14,2,0,0,0,0,0,0,0,1,11,7,0,19
34,5,2007,14,2,0,0,0,2,0,0,0,0,9,9,0,20
34,6,2007,14,2,0,0,0,0,0,0,0,1,10,12,0,23
34,7,2007,14,2,1,0,0,1,0,0,0,0,7,5,0,14
34,8,2007,14,2,0,0,0,1,0,0,0,0,5,4,0,10
34,9,2007,14,2,0,0,1,0,0,0,1,0,4,2,0,8
34,10,2007,14,2,0,0,0,3,0,0,1,0,10,7,0,21
34,11,2007,14,2,0,0,0,0,0,0,0,0,0,0,0,0
34,12,2007,14,2,0,0,0,1,0,0,1,0,2,5,0,9
35,1,2007,40,2,0,0,0,0,0,0,1,0,4,5,0,10
35,2,2007,40,2,0,0,0,1,0,0,1,0,4,9,0,15
35,3,2007,40,2,0,0,1,1,0,0,0,0,4,6,1,13
35,4,2007,40,2,0,0,1,0,0,0,0,0,5,8,0,14
35,5,2007,40,2,0,0,1,0,0,0,0,0,3,4,0,8
35,6,2007,40,2,1,0,2,0,1,0,0,1,5,8,0,18
35,7,2007,40,2,0,0,0,2,0,0,0,0,3,9,0,14
35,8,2007,40,2,0,0,0,1,0,0,0,0,6,9,0,16
35,9,2007,40,2,0,0,0,0,2,0,0,0,4,6,0,12
35,10,2007,40,2,0,0,1,0,0,0,0,0,2,2,0,5
35,11,2007,40,2,0,0,0,0,2,0,0,1,3,6,0,12
35,12,2007,40,2,2,0,1,0,0,0,0,0,3,5,0,11
36,1,2007,27,2,0,0,0,0,1,0,0,0,1,11,0,13
36,2,2007,27,2,0,1,0,0,0,0,0,1,4,5,0,11
36,3,2007,27,2,0,1,1,0,0,0,1,0,4,11,0,18
36,4,2007,27,2,2,0,1,0,0,0,0,0,7,9,0,19
36,5,2007,27,2,0,0,0,0,0,0,0,0,4,6,0,10
36,6,2007,27,2,0,0,1,0,0,0,0,0,2,9,0,12
36,7,2007,27,2,0,1,1,0,0,0,0,0,2,11,0,15
36,8,2007,27,2,0,0,0,0,0,0,0,1,8,4,0,13
36,9,2007,27,2,0,0,0,0,1,0,0,0,4,9,0,14
36,10,2007,27,2,0,0,0,1,0,0,2,0,3,5,0,11
36,11,2007,27,2,0,1,0,0,0,0,0,0,5,7,0,13
